Street Address,Postal Code,Municipality,Date,Hearing Type,Rental,Units,Below Market Units,Replaced Units,Consistent w/ OCP,Decision,Support,Against,Notes
"914, 916 Dale Street",V8X 2W1,Saanich,"May 14, 2019",,No,3,0,2,,Yes,"Brice,Brownoff,Harper,Taylor,de Vries,Chambers,Plant,Mersereau,Haynes",,Subdividing two lots to add one (3 total);  the existing buildings torn down and replaced
1360 Hastings Street,V8Z 2W2,Saanich,"May 14, 2019",,No,1,0,0,,Yes,"Brice,Brownoff,Chambers,de Vries,Harper,Plant,Taylor,Mersereau,Haynes",,Existing dwelling retained and expanded to be duplex
224 Superior St,V8V 1T3,Victoria,"May 9, 2019",,No,5,,,Yes,Yes,"Helps,Alto,Loveday,Thornton-Joe,Young,Potts,Dubow",,Isitt absent
630 and 640 Constance Ave and 637 Nelson St.,V9A 6N7,Esquimalt,"May 6, 2019",,Yes,71,,,,Yes,"Brame,Vermeulen,Armour,Hundleby,Desjardins,Helliwell",Morrison,
926 & 932 Pandora Ave.,V8V 3P3,Victoria,"April 25, 2019",,Yes,148,15,,Yes,Yes,"Helps,Alto,Thornton-Joe,Young,Potts,Loveday","Isitt,Dubow",
1555 Ash Road,V8N 2S9,Saanich,"April 19, 2019",,No,3,0,0,,Yes,"Harper,Brice,Brownoff,Chambers,Mersereau,de Vries,Taylor,Plant,Haynes",,1 existing lot subdivided to create 3 more; designated 1555 Ash a heritage site
901 Selkirk Ave,V9A 2T9,Esquimalt,"April 15, 2019",,No,3,,,Yes,Yes,"Brame,Morrison,Armour,Desjardins,Helliwell",Hundleby,Vermeulen absent
1150 McClure St,V8V 3G2,Victoria,"April 11, 2019",,No,2,,,Yes,Yes,"Helps,Alto,Loveday,Thornton-Joe,Potts,Isitt,Dubow",,Young Absent
430 Parry St.,V8V 2H7,Victoria,"April 11, 2019",,No,12,2,2,Yes,Yes,"Helps,Alto,Loveday,Thornton-Joe,Potts,Isitt,Dubow",,Young absent
1491 Edgeware Road & 2750 Gosworth Road,V8T 3C3,Victoria,"April 11, 2019",,No,4,,,Yes,Yes,"Helps,Alto,Loveday,Thornton-Joe,Potts,Isitt,Dubow",,Young absent
1417 May St.,V8S 1C2,Victoria,"March 28, 2019",,Yes,4,,1,Yes,Yes,"Helps,Alto,Loveday,Thornton-Joe,Young,Potts,Isitt,Dubow",,
931 Redfern St,V8S 4E7,Victoria,"March 28, 2019",,No,3,,,Yes,Yes,"Helps,Alto,Loveday,Thornton-Joe,Young,Potts,Isitt,Dubow",,
3989 Holland Avenue,V8Z 5K2,Saanich,"March 19, 2019",,No,3,0,0,,Yes,"de Vries,Harper,Plant,Mersereau,Brice,Taylor,Haynes","Brownoff,Chambers",Rural to single-family dwelling rezoning for subdivision (3 additional lots)
1303 Fairfield Road,V8S 1E3,Victoria,"March 14, 2019",,Yes,15,1,,No,Yes,"Helps,Alto,Loveday,Thornton-Joe,Potts,Isitt,Dubow",,Young withdrew.  Application included OCP amendment.
"505, 517, 519 and 521 Quadra St and 931 Convent Place",V8V 3S2,Victoria,"February 28, 2019",,Yes,48,4,,Yes,Yes,"Helps,Loveday,Thornton-Joe,Young,Potts,Isitt",,Alto & Dubow absent
1198 Munro St,V9A 5P6,Esquimalt,"January 21, 2019",,No,1,,,Yes,Yes,"Brame,Morrison,Vermeulen,Armour,Hundleby,Desjardins,Helliwell",,
471 Kinver St,V9A 6C5,Esquimalt,"January 21, 2019",,No,2,,1,Yes,Yes,"Brame,Morrison,Vermeulen,Armour,Hundleby,Desjardins,Helliwell",,
1400 Quadra St.,V8W 2L1,Victoria,"January 17, 2019",,Yes,113,,,No,Yes,"Helps,Loveday,Alto,Thornton-Joe,Young,Potts,Isitt,Dubow",,OCP Amendment
