Street Address,Postal Code,Municipality,Date,Hearing Type,Rental,Units,Below Market Units,Replaced Units,Consistent w/ OCP,Decision,Support,Against,Notes
1235 Caledonia,V8T 3K7,Victoria,"October 28, 2021",,Yes,154,154,22,,Yes,"Alto,Loveday,Dubow,Andrew,Thornton-Joe,Isitt,Potts",Young,
"1120, 1124, 1128 Burdett Ave",V8V3H2,Victoria,"October 14, 2021",,Yes,42,,3,,Yes,"Helps,Thornton-Joe,Loveday,Potts,Alto,Andrew","Young,Dubow",Isitt did not vote due to conflict
3926 Grange Rd,V8Z 4T7,Saanich,"September 21, 2021",,No,1,0,0,Yes,Yes,"Chambers,Brownoff,Haynes,Plant,Brice,Taylor,Mersereau,de Vries,Harper",,"Lot split, existing home retained."
1970 Kings Rd,V8R 2P5,Saanich,"September 21, 2021",,No,2,0,1,Yes,Yes,"Chambers,Brownoff,Haynes,Plant,Brice,Taylor,Mersereau,de Vries,Harper",,Duplex replacing a SFH
3839/3851/3861 Quadra St,V8X 1H8,Saanich,"September 21, 2021",,No,77,0,3,No,Yes,"Harper,Haynes,Mersereau,de Vries,Taylor,Chambers,Brownoff,Brice,Plant",,
"819, 821 and 823 Esquimalt Rd.",V9A 3M5,Esquimalt,"August 30, 2021",,Yes,92,,,,Yes,"Desjardins,Hundleby,Vermeulen,Morrison,Brame,Helliwell",Armour,55+
1544 Christmas Ave,V8P 2X2,Saanich,"August 23, 2021",,No,24,0,0,,Yes,"Plant,Brice,Haynes,Mersereau,de Vries,Harper","Chambers,Brownoff,Taylor","Chambers absent, but lead efforts to oppose, so noted as opposed."
1/21 Obed Ave,V9A 1J3,Saanich,"August 10, 2021",,Yes,26,0,,,Yes,"Chambers,Brice,Brownoff,Haynes,de Vries,Harper",,"TODO:  Confirm once minutes are released if there were absences (Taylor, Mersereau, Plant)"
1314/1318 Wharf St,V8W 1T3,Victoria,"August 5, 2021",,Yes,47,0,,No,Yes,"Helps,Potts,Alto,Andrew,Loveday","Young,Isitt,Thornton-Joe,Dubow",Northern Junk
701 Tyee Rd,V9A 0B4,Victoria,"July 15, 2021",,No,38,0,,Yes,Yes,"Helps,Potts,Young,Alto,Isitt,Dubow,Andrew,Thornton-Joe,Loveday",,28 units are two bedroom
324/328 Cook St,V8V 3X7,Victoria,"July 15, 2021",,,48,0,,Yes,Yes,"Helps,Alto,Andrew,Thornton-Joe,Young","Isitt,Dubow,Loveday",
669 Constance Ave,V9A 6N9,Esquimalt,"July 12, 2021",,No,83,6,,,Yes,"Morrison,Vermeulen,Desjardins,Armour,Hundleby,Helliwell",,Braeme Absent
2740/2742 Fifth St,V8T 4B2,Victoria,"June 24, 2021",,Yes,1,0,,No,Yes,"Helps,Potts,Young,Alto,Isitt,Dubow,Andrew,Thornton-Joe,Loveday",,3 bedroom home being added to parcel with existing duplex. Built to be passive. Legal agreement to be rental for 10 years. Alto conflict; Dubow/Isitt absent
2440 and 2448 Richmond Rd,V8R 4S3,Victoria,"June 24, 2021",,Yes,22,0,,No,Yes,"Helps,Loveday,Thornton-Joe,Potts,Young,Andrew",,one unit secured as adaptable and one accessible parking stall. Alto conflict; Isitt/Dubow absent.
4744 Elk Lake Dr, V8Z 5M1,Saanich,"June 17, 2021",,,242,43,,No,Yes,"de Vries,Haynes,Mersereau,Taylor,Harper,Plant,Brice","Chambers,Brownoff",
415 and 435 Michigan St,V8V 1R9,Victoria,"June 10, 2021",,Yes,24,2,,Yes,Yes,"Helps,Alto,Loveday,Thornton-Joe,Young,Andrew",Dubow,Potts and Isitt conflict due to vicinity to their residence/family property
1475 Fort St, V8S 1Z4,Victoria,"June 10, 2021",,Yes,32,0,,Yes,No,"Helps,Alto,Loveday,Potts","Thornton-Joe,Young,Dubow,Isitt,Andrew","There were non-market units attached to this project, but they were contingent on post-application discussions with Island Health"
931 McLure,V8V 3E8,Victoria,"June 5, 2021",,,15,2,,Yes,No,"Helps,Loveday,Alto,Potts","Young,Thornton-Joe,Isitt,Dubow,Andrew",
1100/1104/1108 Esquimalt Rd & 610/612 Lampson St,V9A 3N4,Esquimalt,"May 17, 2021",,No,89,,,Yes,Yes,"Desjardins,Armour,Brame,Helliwell,Hundleby",Morrison,Vermuelen conflict
1029 Queens Ave,V8T 1M7,Victoria,"May 13, 2021",,Yes,2,2,,Yes,Yes,"Helps,Alto,Loveday,Thornton-Joe,Potts,Young,Dubow,Isitt,Andrew",,
430 Powell St,V8V 2J4,Victoria,"May 13, 2021",,No,2,0,,Yes,Yes,"Helps,Alto,Loveday,Thornton-Joe,Potts,Young,Dubow,Isitt,Andrew",,
2747 Asquith St,V8R 3Y6,Victoria,"May 13, 2021",,Yes,1,0,,Yes,Yes,"Helps,Alto,Loveday,Thornton-Joe,Potts,Young,Dubow,Isitt,Andrew",,
3700 Cedar Hill Rd, V8P 3Z1,Saanich,"May 11, 2021",,Yes,85,85,,,Yes,"Brownoff,Chambers,Plant,Brice,Haynes,de Vries,Harper,Mersereau,Taylor",,
3400 Tillicum Rd,V8Z 4H3,Saanich,"May 11, 2021",,Yes,242,10,,,Yes,"de Vries,Taylor,Haynes,Plant,Harper,Brice,Brownoff,Mersereau",Chambers,On top of previous bingo hall
1913 and 1915 Fernwood Rd,V8T 2Y6,Victoria,"April 22, 2021",,No,2,0,,Yes,Yes,"Alto,Helps,Loveday,Thornton-Joe,Potts,Young,Dubow,Andrew",Isitt,
3120 Washington Ave,V9A 1P6,Victoria,"April 22, 2021",,No,8,0,,Yes,Yes,"Helps,Loveday,Thornton-Joe,Potts,Young,Dubow,Isitt",,Alto/Andrew conflict b/c of property ownership
1150 Cook St,V8V 3Z9,Victoria,"April 8, 2021",,No,129,0,,Yes,Yes,"Alto,Helps,Loveday,Potts,Andrew","Thornton-Joe,Young,Isitt,Dubow",
3656 Raymond St,V8Z 4J8,Saanich,"March 25, 2021",,No,59,6,,Yes,No,"Mersereau,de Vries,Harper,Taylor","Chambers,Brownoff,Brice,Haynes,Plant",
"3080, 3082, 3090 Washington Ave",V9A 1P6,Victoria,"March 25, 2021",,,34,0,,No,Yes,"Alto,Helps,Loveday,Thornton-Joe,Young,Potts,Dubow,Isitt,Andrew",,21 three bedroom units. 2 four bedroom units. 
1114 Rockland Ave,V8V 3H7,Victoria,"March 25, 2021",,No,22,2,,Yes,Yes,"Alto,Helps,Loveday,Thornton-Joe,Potts,Dubow,Isitt,Andrew",Young,$144k contribution to housing reserve fund/amenities
1628 Edgeware Rd,V8T 2J8,Victoria,"March 11, 2021",,Yes,7,0,,Yes,Yes,"Alto,Helps,Loveday,Thornton-Joe,Potts,Dubow,Isitt,Andrew",Young,Rest home
842 Carrie St,V9A 5R4,Esquimalt,"March 1, 2021",,No,2,,,,Yes,"Vermeulen,Morrison,Brame,Hundleby,Desjardins,Armour,Helliwell",,"Subdivide lot, add suite to existing home"
1035 Joan Crescent,V8S 3L3,Victoria,"February 25, 2021",,No,2,0,,Yes,Yes,"Alto,Helps,Loveday,Thornton-Joe,Young,Potts,Dubow,Isitt",,Andrew absent
298 Island Hwy.,V9B 1G5,View Royal,"February 16, 2021",,No,54,,0,Yes,Yes,"Kowalewich,Screech,Mattson,Lemon,Rogers",,
2700 Avebury Ave,V8R 3W4,Victoria,"February 11, 2021",,No,1,0,,Yes,Yes,"Helps,Loveday,Thornton-Joe,Potts,Andrew","Young,Dubow,Isitt",Alto absent
3661 Tillicum Rd,V8Z 4H7,Saanich,"February 9, 2021",,No,2,0,,Yes,Yes,"Taylor,Chambers,Brownoff,Brice,Haynes,Plant,Harper","Mersereau,de Vries",
5229 Cordova Bay Rd,V8Y 2K7,Saanich,"February 9, 2021",,No,20,0,,,Yes,"Brownoff,Brice,Haynes,Plant,Mersereau,de Vries,Harper,Taylor",Chambers,
1224 Richardson St,V8V 3E1,Victoria,"January 28, 2021",,,24,24,,Yes,Yes,"Alto,Helps,Loveday,Potts,Dubow,Isitt,Andrew","Thornton-Joe,Young",
956 Heywood Ave, V8V 2Y4,Victoria,"January 28, 2021",,No,6,0,,Yes,Yes,"Alto,Helps,Loveday,Thornton-Joe,Young,Potts,Dubow,Isitt,Andrew",,
429 and 431 Parry St,V8V 2H8,Victoria,"January 28, 2021",,No,4,0,,Yes,Yes,"Alto,Helps,Loveday,Thornton-Joe,Young,Potts,Dubow,Isitt,Andrew",,
669 Constance Ave,V9A 6N9,Esquimalt,"January 12, 2021",,Yes,83,6,,,Yes,"Hundleby,Desjardins,Armour,Vermeulen,Morrison,Helliwell",,Braeme absent
1899 Townley, V8R 3A8,Saanich,"January 12, 2021",,No,2,0,,Yes,Yes,"Chambers,Brownoff,Brice,Haynes,Plant,Mersereau,de Vries,Harper,Taylor",,Lot split
271 Battleford Ave,V8Z 1K7,Saanich,"January 12, 2021",,No,1,0,,Yes,Yes,"Chambers,Brownoff,Brice,Haynes,Plant,Mersereau,Harper,Taylor",de Vries,"Lot split, original house retained."
300 Gorge Road W, V9A 1M8,Saanich,"January 12, 2021",,No,53,0,,Yes,Yes,"Chambers,Brownoff,Brice,Haynes,Plant,de Vries,Mersereau,Harper,Taylor",,
1048 Tillicum Rd,V9A 2A3,Esquimalt,"January 11, 2021",,No,5,,2,,Yes,"Vermeulen,Morrison,Brame,Hundleby,Desjardins,Armour,Helliwell",,
1050-1058 Pandora Ave and 1508-1518 Cook St,V8V 3P5,Victoria,"December 10, 2020",,Yes,103,0,,Yes,Yes,"Alto,Helps,Loveday,Thornton-Joe,Young,Isitt",Potts,Dubow absent
"43, 45, and 55 Gorge Road E and 2827, 2829, and 2831 Irma St",V9A 1L1,Victoria,"December 10, 2020",,Yes,153,0,,Yes,Yes,"Alto,Helps,Loveday,Thornton-Joe,Young,Potts,Isitt",,Dubow absent
"1908, 1916, and 1920 Oak Bay Ave",V8R 1C7,Victoria,"December 10, 2020",,,35,0,,Yes,Yes,"Alto,Helps,Loveday,Thornton-Joe,Young,Potts",Isitt,Dubow absent
1023 Tolmie Ave,V8X 2H2,Victoria,"December 10, 2020",,,1,0,,Yes,Yes,"Alto,Helps,Loveday,Thornton-Joe,Young,Potts,Isitt",,Dubow absent
874 Fleming St.,V9A 5V3,Esquimalt,"December 7, 2020",,Yes,137,137,,Yes,Yes,"Morrison,Vermeulen,Armour,Hundleby,Desjardins,Helliwell",,"BC Housing, Braeme absent"
"324/328 Cook St and 1044, 1048, 1052/1054 Pendergast St",V8V 3X7,Victoria,"November 26, 2020",,No,48,0,,Yes,No,"Alto,Helps,Thornton-Joe,Young","Loveday,Potts,Isitt,Dubow",
1899 Townley Street,V8R 3A8,Saanich,"November 17, 2020",,No,2,0,,,Yes,"Brice,Brownoff,Chambers,de Vries,Mersereau,Harper,Plant,Taylor,Haynes",,"Lot split, 2 new SFH; CA support provided secondary suites not permitted"
9 Erskin Lane,V8Z 1R7,View Royal,"November 17, 2020",,Yes,336,33,,,Yes,"Lemon,Kowalewich,Screech,Rogers,Mattson",,
2639 Fifth St,V8T 4X6,Victoria,"November 12, 2020",,Yes,1,0,,Yes,Yes,"Alto,Helps,Loveday,Thornton-Joe,Young,Potts,Dubow",,Isitt absent
330-336 Michigan St,V8V 1R5,Victoria,"October 22, 2020",,Yes,97,97,,Yes,Yes,"Alto,Helps,Loveday,Thornton-Joe,Young,Dubow",,Isitt and Potts conflict
334 Dallas Rd,V8V 1A8,Victoria,"October 22, 2020",,Yes,3,0,,Yes,Yes,"Alto,Helps,Loveday,Thornton-Joe,Young,Potts,Dubow,Isitt",,
736 Princess Ave,V8T 1K6,Victoria,"October 22, 2020",,Yes,28,28,,Yes,Yes,"Alto,Helps,Loveday,Thornton-Joe,Young,Potts,Dubow,Isitt",,
1565 Mileva Lane,V8N 2V6,Saanich,"October 20, 2020",,No,2,0,,Yes,Yes,"Brice,de Vries,Mersereau,Harper,Plant,Taylor,Haynes",Chambers,"Brownoff Absent; Lot split to 2 new SFH, no original structures"
2920 Prior St, V8T 3Y5,Victoria,"October 8, 2020",,No,2,0,,Yes,Yes,"Alto,Helps,Loveday,Potts,Thornton-Joe,Young,Dubow,Isitt",,
202 Raynor Ave,V9A 3A2,Victoria,"September 17, 2020",,No,1,0,,Yes,Yes,"Alto,Helps,Loveday,Potts,Young,Isitt",Thornton-Joe,Dubow absent
4829 Cordova Bay Road,V8Y 2J8,Saanich,"September 15, 2020",,No,2,0,1,Yes,Yes,"Brice,Brownoff,Plant,de Vries,Mersereau,Harper,Taylor,Haynes",Chambers,Lot split to 2 new SFH; applicant contributed $900.0 to plant 3 trees in Cordova Bay area
2558 Quadra St,V8T 4E2,Victoria,"September 3, 2020",,Yes,40,40,,Yes,Yes,"Alto,Helps,Loveday,Potts,Thornton-Joe,Young,Dubow,Isitt",,
2649-2659 Douglas St and 735 Hillside Ave,V8T 4M3,Victoria,"August 6, 2020",,Yes,151,0,,Yes,Yes,"Alto,Helps,Loveday,Potts,Thornton-Joe,Young,Dubow,Isitt",,
2251 Lydia St,V8R 4K6,Victoria,"August 6, 2020",,No,2,0,,Yes,Yes,"Alto,Helps,Loveday,Potts,Thornton-Joe,Young,Dubow,Isitt",,
1015 Cook St,V8V 3Z6,Victoria,"July 23, 2020",,Yes,31,0,,Yes,Yes,"Alto,Helps,Loveday,Potts,Thornton-Joe,Dubow,Isitt",Young,
913-929 Burdett ave and 914-924 McClure St,V8V 3G6,Victoria,"July 23, 2020",,Yes,132,5,,Yes,Yes,"Alto,Loveday,Helps,Potts,Thornton-Joe,Young,Dubow",Isitt,26 units are assisted living units
4595 Cordova Bay Road,V8X 3V6,Saanich,"July 14, 2020",,No,2,0,1,,Yes,"Brice,Brownoff,Plant,de Vries,Mersereau,Harper,Haynes","Chambers,Taylor",Lot split to 2 new SFH; Geotechnical covenant required
195 Kamloops Avenue,V8Z 1W4,Saanich,"July 14, 2020",,No,2,0,1,,Yes,"Brice,Brownoff,Chambers,de Vries,Harper,Mersereau,Plant,Taylor,Haynes",,SFH replaced with duplex; devel incl. new sidewalk on Seaton St and road improvements Seaton and Kamloops streets
"616, 620 Constance Av 619, 623 Nelson St, 1326 Miles St",V9A 6N7,Esquimalt,"July 13, 2020",,Yes,129,8,,Yes,Yes,"Desjardins,Armour,Brame,Helliwell,Hundleby,Vermeulen",Morrison,3 special needs units
1302 Finlayson St,V8T 2V6,Victoria,"July 9, 2020",,No,1,0,,Yes,Yes,"Alto,Helps,Loveday,Potts,Young,Thornton-Joe,Dubow,Isitt",,
1023 Tolmie Ave,V8X 2H2,Victoria,"July 9, 2020",,No,1,0,,Yes,No,"Alto,Helps","Loveday,Potts,Young,Thornton-Joe,Dubow,Isitt",Motion to refer passed (Helps & Alto against)
"3,5,9 Helmcken Road",V9E 2E2,View Royal,"July 7, 2020",,No,247,,16,Yes,Yes,"Mattson,Rogers,Screech,Kowalewich",Lemon,
11 Chown Place,V9A 1H5,Victoria,"June 25, 2020",,Yes,58,58,,Yes,Yes,"Alto,Helps,Loveday,Potts,Young,Thornton-Joe,Dubow,Isitt",,
3281 Cedar Hill Road,V8P 3Y5,Saanich,"June 16, 2020",,No,4,0,0,Yes,Yes,"de Vries,Mersereau,Brice,Harper,Taylor,Haynes","Brownoff,Chambers,Plant","Empty lot to 2 SFH and 1 duplex; $12,000 contribution to Saanich Affordable Housing Fund"
3200 Linwood Avenue,V8X 1E4,Saanich,"June 16, 2020",,Yes,97,,,,Yes,"Brice,Brownoff,de Vries,Mersereau,Plant,Harper,Chambers,Taylor,Haynes",,4-storey affordable seniors complex; $11 million of suites purchase by BC Housing through PRHC
1301 Hillside Ave,V8T 5G1,Victoria,"June 11, 2020",,No,49,9,,Yes,Yes,"Alto,Helps,Loveday,Potts,Young,Thornton-Joe,Dubow",Isitt,
3020 Douglas St and 684 Burnside Road E,V8T 4N4,Victoria,"June 11, 2020",,Yes,154,154,,Yes,Yes,"Alto,Helps,Loveday,Potts,Young,Thornton-Joe,Dubow,Isitt",,
4082 Dawnview Crescent,V8N 5K1,Saanich,"June 2, 2020",,No,3,0,0,,Yes,"Brice,Brownoff,de Vries,Chambers,Plant,Harper,Mersereau,Taylor,Haynes",,Empty lot split 3 ways; no postal code
"3914 Shelbourne Street and 1540, 1546, 1550 Stockton Crescent",V8P 4J1,Saanich,"June 2, 2020",,No,102,,,Yes,Yes,"Brice,Brownoff,Chambers,de Vries,Mersereau,Harper,Taylor,Plant,Haynes",,"One 6-storey building with 65 units, one 4-storey building with 37 units; creates bike lane, pedestrian walkway, boulevard; development permit not ratified at June meeting, final reading December 14, 2020."
1239 Union Road,V8P 2J5,Saanich,"June 2, 2020",,No,1,0,0,,Yes,"Brice,Brownoff,Chambers,de Vries,Harper,Mersereau,Plant,Taylor,Haynes",,Lot split; Keeping current house with improvements
1700 Blanshard St, V8W 2J1,Victoria,"May 28, 2020",,Yes,245,49,,Yes,Yes,"Alto,Helps,Loveday,Potts,Young,Thornton-Joe","Dubow,Isitt",Below market rentals only guaranteed for 16 years
636 & 640 Drake Ave,V9A 6K5,Esquimalt,"March 16, 2020",,No,7,,2,,Yes,"Desjardins,Brame,Helliwell,Hundleby,Morrison,Vermeulen",Armour,
514 & 518 Sumas Street,V8T 4S3,Victoria,"February 27, 2020",,,8,0,,Yes,No,"Alto,Helps,Loveday,Potts","Young,Thornton-Joe,Dubow,Isitt",
"1309/1315 Cook St, 1100-1120 Yates St, 1109-115 Johnson St",V8V 4A3,Victoria,"February 27, 2020",,,217,104,,No,Yes,"Alto,Helps,Loveday,Potts,Young,Thornton-Joe","Dubow,Isitt",
1442 Elford St,V8S 3S8,Victoria,"February 13, 2020",,,5,0,,Yes,Yes,"Alto,Helps,Loveday,Potts,Young,Thornton-Joe,Isitt,Dubow",,SFH conversion
1017-1023 Cook St,V8V 3Z6,Victoria,"February 13, 2020",,Yes,2,0,,Yes,Yes,"Alto,Helps,Loveday,Potts,Young,Thornton-Joe,Dubow",,Isitt absent
3905 Hobbs Street,V8N 4C8,Saanich,"February 11, 2020",,No,1,0,0,,Yes,"Brice,Brownoff,de Vries,Chambers,Plant,Taylor,Harper,Mersereau,Haynes",,"Lot split, original SFH retained; requested existing building designation as Municipal Heritage Site"
1216 Richardson St,V8V 3E1,Victoria,"January 23, 2020",,,2,0,,Yes,Yes,"Alto,Helps,Loveday,Young,Thornton-Joe,Isitt,Dubow",,Potts absent
7 Erskin Lane,V8Z 7J7,View Royal,"January 21, 2020",,No,71,0,,Yes,Yes,"Rogers,Lemon,Kowalewich,Screech",Mattson,
1702 Fernwood Ave,V8V 4P5,Victoria,"January 9, 2020",,,3,0,,Yes,Yes,"Alto,Potts,Loveday,Young,Thornton-Joe,Isitt,Dubow",,conversion of a SFH to a triplex; Helps conflict
1072 Colville Rd,V9A 4P7,Esquimalt,"December 16, 2019",,No,2,,1,Yes,Yes,"Morrison,Brame,Vermeulen,Helliwell,Hundleby,Armour",,Desjardins absent
1076 Colville Rd,V9A 4P7,Esquimalt,"December 16, 2019",,No,2,,1,Yes,Yes,"Morrison,Brame,Vermeulen,Helliwell,Hundleby,Armour",,Desjardins absent
953 Balmoral Road,V8T 1A7,Victoria,"December 12, 2019",,Yes,11,2,,Yes,Yes,"Alto,Loveday,Helps,Potts,Thornton-Joe",Isitt,"Dubow Absent, Young Conflict"
1139 Burdett Ave,V8V 3H3,Victoria,"December 12, 2019",,Yes,7,0,0,Yes,Yes,"Alto,Helps,Loveday,Thornton-Joe,Young,Potts,Isitt",,Dubow Absent.  House conversion with addition
"2931, 2947 Qu'Appelle Street",V9A 1V3,Saanich,"December 10, 2019",,Yes,44,44,,,Yes,"Harper,Haynes,Chambers,Brice,Brownoff,Plant,de Vries,Mersereau,Taylor",,"One 4-storey and one 3-storey rental residential bldng; $8800 contributed to Gorge Park improvements; affordable housing for 10 years, not perpetuity"
1821 Midgard Avenue,V8P 2Z1,Saanich,"December 10, 2019",,No,2,0,,,Yes,"de Vries,Harper,Haynes,Brice,Mersereau,Taylor,Plant","Brownoff,Chambers",Construction of duplex
937 Colville Rd,V9A 4P4,Esquimalt,"December 2, 2019",,No,6,,1,Yes,Yes,"Morrison,Brame,Vermeulen,Helliwell,Hundleby,Desjardins,Armour",,
681 and 685 Admirals Rd,V9A 2N9,Esquimalt,"December 2, 2019",,Yes,48,,,,Yes,"Morrison,Brame,Helliwell,Hundleby,Desjardins,Armour",Vermeulen,
"208/210, 220, 230 and 240/242 Wilson Street",V9A 7N6,Victoria,"November 28, 2019",,No,34,2,,Yes,Yes,"Alto,Helps,Loveday,Thornton-Joe,Young,Potts,Dubow,Isitt",,"Replaced single family, duplex and multiplex"
605 - 629 Speed Ave & 606-618 Frances Ave,V8Z 1A5,Victoria,"November 28, 2019",,No,247,10,,No,Yes,"Helps,Alto,Loveday,Thornton-Joe,Young,Potts,Dubow,Isitt",,
1811 Oak Bay Ave,V8R 1C1,Victoria,"November 28, 2019",,No,14,,5,Yes,Yes,"Helps,Alto,Loveday,Thornton-Joe,Young,Potts,Dubow,Isitt",,Units secured as rentals for 10 years
1210 Haultain St,V8T 1V7,Victoria,"November 28, 2019",,No,2,,1,Yes,Yes,"Helps,Alto,Loveday,Thornton-Joe,Young,Potts,Isitt,Dubow",,Old owner occupied home demoed for building of new duplex
899 Esquimalt Rd,V9A 3M5,Esquimalt,"November 25, 2019",,No,69,,,,Yes,"Morrison,Desjardins,Vermeulen,Armour","Brame,Hundleby,Helliwell","10 years of subsidized rent for tenants of health care clinic, rest is condos"
2220 Cook St, V8T 3R2,Victoria,"November 14, 2019",,No,3,,,Yes,Yes,"Helps,Alto,Dubow,Isitt,Loveday,Thornton-Joe,Potts,Young",,"Subdivide lot, retaining existing apartment and construct triplex on new lot"
2708 Graham St & 1050-1054 Hillside Ave, V8T 3Z2,Victoria,"October 24, 2019",,No,4,,0,Yes,Yes,"Helps,Loveday,Alto,Thornton-Joe,Potts,Young,Dubow,Isitt",,
1025-1031 Johnson St & 1050 Yates St,V8V 3N7,Victoria,"October 24, 2019",,Yes,130,130,,No,Yes,"Helps,Alto,Loveday,Thornton-Joe,Young,Potts,Isitt,Dubow",,OCP Amendment
589 Toronto St, V8V 1P1,Victoria,"October 10, 2019",,Yes,1,,,Yes,Yes,"Helps,Loveday,Alto,Thornton-Joe,Potts,Young,Dubow,Isitt",,Converting existing duplex into 3 unit building
